@relation LOTAAS_1_Thornton_Features_22
@attribute Score1 numeric
@attribute Score2 numeric
@attribute Score3 numeric
@attribute Score4 numeric
@attribute Score5 numeric
@attribute Score6 numeric
@attribute Score7 numeric
@attribute Score8 numeric
@attribute Score9 numeric
@attribute Score10 numeric
@attribute Score11 numeric
@attribute Score12 numeric
@attribute Score13 numeric
@attribute Score14 numeric
@attribute Score15 numeric
@attribute Score16 numeric
@attribute Score17 numeric
@attribute Score18 numeric
@attribute Score19 numeric
@attribute Score20 numeric
@attribute Score21 numeric
@attribute Score22 numeric
@attribute class {0,1}
@data
1674.104751,29353.10966,0,8589.776658,83.58958836,0.163662957,37.55489084,11.89239207,861.449227,1.911098772,203.0726711,1358.742864,27.6748878,35.35330202,0.03,4.866991963,0.559135282,0.020778055,13.73430412,6.995638362,0.162595603,11.76759321,1
2016.632704,25096.77178,0,7319.776709,82.87909316,0.203706311,25.71715882,10.24622964,417.8644821,6.810363834,150.2126463,101.4425687,19.57800666,49.41651326,0.1,6.526002219,0.125339305,0.016940893,2.616427966,0.102979798,0.883112187,22.49585104,1
1993.344747,3074.90636,3,2873.413036,17.252535,0.841364744,98.0858462,7.806022941,761.4358247,2.335292219,758.610589,272.4584794,13.18816482,73.89809439,0.06,3.3319315,0.648912598,0.062828458,32.99125888,0.424918293,0.06001827,6.614244511,1
1556.443183,32386.42455,0,9352.361828,90.00876486,0.093436816,31.13549019,2.09235865,108.8855416,2.287224738,63.23688618,1222.948428,31.28190095,34.94,0.02,4.468842993,0.150177248,0.016921536,25.8696696,0.088388348,0.636839251,23.56276748,1
7305.711699,15866.58421,1,9201.296302,99.74951513,7.17E-16,26.57415012,4.823809888,257.1508481,1.990596407,88.68706333,196.3210825,73.94345159,40.12650416,0.05,16.96379121,0.358926966,0.010495872,17.50974845,0,0.544486539,21.77543014,1
1479.926703,33005.85623,0,9683.179488,101.3575411,0.097696343,25.33881696,3.041169338,81.24718435,3.041169338,76.29835636,495.4015537,37.75990222,58.40594436,0.04,7.707707765,0.438759851,0.023581532,24.74783209,0.148072291,0.732768538,22.85549034,1
6316.534455,14595.77713,1,8507.727094,79.7345215,0.147773833,40.33054856,1.70754056,221.8688517,1.728984199,217.63413,944.7919936,21.30611297,94.88752617,0.02,3.043730424,0.014426106,0.005228283,2.591475156,9.347028163,0.235672385,13.92838882,1
2345.337698,4152.035844,3,4231.908159,31.36342846,0.692052595,76.90983059,230.9384231,2380.406234,6.04282819,959.5698425,233.6502583,12.49660725,122.3840931,0.09,3.930001168,0.044239575,0.029621595,2.841358398,0.484530258,0.218517058,8.712944067,1
2015.390354,3351.573789,5,6777.692084,58.42446984,0.331060742,58.35263098,1.789119495,563.1964762,1.812377203,565.3755389,1575.891224,15.33402046,49.51583477,0.02,2.190574352,0.229679728,0.167654586,8.360213173,15.93072674,0.067186245,8.911971558,1
1093.083145,33823.54286,0,9956.310882,96.92631115,0.038456904,27.38793926,170.0869316,754.8692285,1.561244982,68.66114839,1656.448251,36.19858656,9.186942698,0.02,5.171226651,0.799358575,0.005031679,46.35776942,0.228401705,0.7639306,27.00677795,1
